original_word,replace
0,0
1,1
2,2
3,3
3,3
4,4
5,5
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
43,43
44,44
45,45
48,48
50,50
52,52
53,53
55,55
56,56
60,60
61,61
63,63
65,65
70,70
75,75
79,79
80,80
90,90
91,91
94,94
95,95
97,97
98,98
99,99
100,100
110,110
125,125
130,130
140,140
150,150
160,160
170,170
190,190
195,195
200,200
225,225
250,250
280,280
300,300
310,310
350,350
360,360
375,375
400,400
450,450
500,500
540,540
550,550
600,600
625,625
640,640
700,700
750,750
800,800
850,850
900,900
1000,1000
1600,1600
2000,2000
2004,2004
2005,2005
2008,2008
2010,2010
2011,2011
2017,2017
2018,2018
2019,2019
2020,2020
2021,2021
2022,2022
2023,2023
2024,2024
2025,2025
2026,2026
2030,2030
2100,2100
2700,2700
4000,4000
4600,4600
4800,4800
5000,5000
7000,7000
9500,9500
11500,11500
ade,adik
adek,adik
adeku,adik
adeknya,adik dia
adekmu,adik kamu
adimu,adik kamu
adekku,adik saya
adiku,adik saya
admin,admin
ngadu,adu
ngajak,ajak
ngajakin,ajak
ngajarin,ajar
ahir,akhir
ahirnya,akhir
akhrnya,akhir
akte,akte
ak,aku
akuu,aku
aq,aku
gw,aku
qu,aku
ngalamin,alami
alesan,alasan
alesannya,alasan
alm,almarhum
ngambek,amber
ngambil,ambil
aamiin,amin
ngamuk,amuk
ngamuknya,amuk
anakny,anak
ank,anak
ankku,anak
anknya,anak
bocil,anak
ancem,ancam
ngancam,ancam
ngancem,ancam
ngandelin,andal
anggep,anggap
budget,anggaran
budgetnya,anggaran
nganggur,anggur
nganggurnya,anggur
anter,antar
anterin,antar
nganter,antar
nganterin,antar
ngantuk,antuk
apkh,apa
ngapain,apa
apalgi,apa lagi
astaghfirullah,astaga
ato,atau
atw,atau
atm,atm
ngatur,atur
ngaturnya,atur
gimana,bagaimana
gimananya,bagaimana
gimanapun,bagaimana
gimna,bagaimana
gmn,bagaimana
gmna,bagaimana
gmnapun,bagaimana
bgi,bagi
bgiku,bagi
bhkan,bahkan
bhkn,bahkan
bales,balas
balesnya,balas
bls,balas
dibales,balas
balikin,balik
blik,balik
balita,balita
balitaku,balita
bangettt,banget
bgt,banget
bgtt,banget
bnget,banget
bngt,banget
bngtt,banget
bantuin,bantu
bntu,bantu
bntuin,bantu
bntulah,bantu
bnyak,banyak
bnyk,banyak
byk,banyak
bp,bapak
bpa,bapak
bpaku,bapak
bpk,bapak
bpku,bapak
bpknya,bapak dia
bpkmu,bapak kamu
bpkku,bapak saya
breng,bareng
bru,baru
bawain,bawa
bwa,bawa
bayangin,bayang
bayarin,bayar
byar,bayar
byr,bayar
baby,bayi
newborn,bayi
toddler,bayi
bgini,begini
bgtu,begitu
gt,begitu
gtu,begitu
segitu,begitu
segitunya,begitu
ngebela,bela
blnja,belanja
blnjanya,belanja
beliin,beli
bli,beli
dibeliin,beli
blm,belum
blom,belum
blum,belum
bener,benar
beneran,benar
benerin,benar
benerinnya,benar
bner,benar
bnr,benar
sbnr,benar
sbnrnya,benar
sebener,benar
sebenernya,benar
bntr,bentar
bbrp,berapa
bbrpa,berapa
brp,berapa
brpa,berapa
brpapun,berapa
bb,berat badan
bri,beri
biarin,biar
biayain,biaya
biyaya,biaya
bibik,bibi
bibiknya,bibi
bikinin,bikin
bkin,bikin
bilangin,bilang
bilanginnya,bilang
bilg,bilang
bilng,bilang
bilngnya,bilang
blang,bilang
blg,bilang
binggung,bingung
bngung,bingung
bs,bisa
bsa,bisa
bodo,bodoh
ball,bola
blh,boleh
bumer,boomer
bosen,bosan
bpjs,bpjs
bucin,budak cinta
bkn,bukan
bln,bulan
buln,bulan
bulnnya,bulan
bnda,bunda
bund,bunda
kbutuhan,butuh
sc,caesar
cpek,capek
cariin,cari
cri,cari
cepet,cepat
ceritain,cerita
crita,cerita
critanya,cerita
crta,cerita
sharing,cerita
chat,chat
chatan,chat
chatnya,chat
nyicil,cicil
nyuci,cuci
cuekin,cuek
berkecukupan,cukup
ckup,cukup
cma,cuma
cm,cuman
cmn,cuman
cumn,cuman
curhat,curhat
curhatan,curhat
curhatku,curhat
curhatnya,curhat
dlu,dahulu
duluan,dahulu
dlm,dalam
dapet,dapat
dapetnya,dapat
dpat,dapat
dpet,dapat
dpt,dapat
dptnya,dapat
dr,dari
dri,dari
drinya,dari
online,daring
drpd,daripada
dateng,datang
dtang,datang
dtg,datang
deket,dekat
deketnya,dekat
dket,dekat
dkt,dekat
dktku,dekat
dg,dengan
dgn,dengan
dngan,dengan
dngn,dengan
dgnnya,dengan dia
denger,dengar
dengerin,dengar
dengernya,dengar
julid,dengki
dpn,depan
dpnku,depan
dirmh,di rumah
drmh,di rumah
drumah,di rumah
dy,dia
didiemin,diam
diem,diam
diemin,diam
silent,diam
skitnya,diikit
sdikit,dikit
skit,dikit
dmna,dimana
disabilitas,disabilitas
dll,dll
doain,doa
donk,dong
suport,dukung
support,dukung
emg,emang
emgnya,emang
emng,emang
emngnya,emang
ngemis,emis
enk,enak
fb,facebook
pondasi,fondasi
gnti,ganti
gra,gara
gatel,gatal
gni,gini
gituin,gitu
ojol,gojek
group,grup
grub,grup
hbis,habis
hbs,habis
ngabisin,habis
hdp,hadap
ngadepin,hadap
ngadepinnya,hadap
ngaji,haji
alaikum,halo
asalamualaikum,halo
assalamu,halo
hallo,halo
hmpir,hampir
hp,handphone
hpnya,handphone dia
hpmu,handphone kamu
hy,hanya
hr,hari
hri,hari
hrs,harus
hrsnya,harus
hrus,harus
hrusnya,harus
berpenghasilan,hasil
hti,hati
stop,henti
hdup,hidup
hdupku,hidup
ilang,hilang
bhun,ibu
bunn,ibu
ibuk,ibu
mom,ibu
iklas,ikhlas
nginap,inap
nginep,inap
inget,ingat
ingetnya,ingat
keinget,ingat
kepengen,ingin
pgen,ingin
pgn,ingin
pgnnya,ingin
pingin,ingin
pngen,ingin
pngn,ingin
pngnnya,ingin
ngirit,irit
irt,irt
yaaa,iya
ijin,izin
ijinin,izin
ijinnya,izin
jd,jadi
jdi,jadi
jdinya,jadi
jdlah,jadi
jdnya,jadi
mnjadi,jadi
jagain,jaga
jjn,jajan
jakarta,jakarta
jkt,jakarta
jalanin,jalan
jln,jalan
ngejalanin,jalan
jm,jam
boro,jangan
jgn,jangan
jngan,jangan
jngn,jangan
jrang,jarang
dijatah,jatah
jwb,jawab
jwbnya,jawab
jelekin,jelek
single,jomblo
slot,judi
judol,judol
jg,juga
jga,juga
jjur,jujur
jt,juta
jta,juta
ngabarin,kabar
kdang,kadang
kdg,kadang
kdng,kadang
kaka,kakak
kk,kakak
kkak,kakak
kkaknya,kakak
kakanya,kakak dia
kakaku,kakak saya
kalo,kalau
kalok,kalau
klau,kalau
klo,kalau
klu,kalau
klw,kalau
kli,kali
klinya,kali
skli,kali
sklinya,kali
kmi,kami
kmpung,kampung
km,kamu
loe,kamu
gara,karena
gegara,karena
karna,karena
kerna,karena
krena,karena
krn,karena
krna,karena
ksh,kasih
ksih,kasih
ngasi,kasih
ngasih,kasih
ngasihnya,kasih
ngsh,kasih
ngsih,kasih
dikatain,kata
katain,kata
ngatain,kata
qta,kata
ky,kayak
kya,kayak
kyak,kayak
kyaknya,kayak
kyanya,kayak
kyk,kayak
kyknya,kayak
kynya,kayak
kb,kb
kdrt,kdrt
kbthn,kebutuhan
ngejar,kejar
kls,kelas
keluarin,keluar
kluar,keluar
kluarnya,keluar
ngeluarin,keluar
pengeluaran,keluar
pengeluaranku,keluar
klrga,keluarga
kluarga,keluarga
kluarganya,keluarga dia
kluargaku,keluarga saya
ngeluh,keluh
ngeluhnya,keluh
uneg,keluh
unek,keluh
skill,kemampuan
kemaren,kemarin
kmaren,kemarin
kmren,kemarin
kmrin,kemarin
kmrn,kemarin
knapa,kenapa
knp,kenapa
knpa,kenapa
kpd,kepada
kerjain,kerja
krj,kerja
krja,kerja
krjanya,kerja
ngerjain,kerja
ktika,ketika
ngeliatnya,kihat
kirain,kira
ngirim,kirim
kta,kita
ktanya,kita
ktmu,kita
ktnya,kita
koq,kok
komen,komentar
komennya,komentar
kontrkan,kontrak
ngontrak,kontrak
koprasi,koperasi
kos,kos
kosan,kos
kpr,kpr
ktp,ktp
kua,kua
ngumpul,kumpul
ngumpulin,kumpul
lg,lagi
lgi,lagi
laen,lain
