text,label
halo bunda bunda hadap 2 pilih pilih 1 hasil 50 juta ldm bisnis kebun sawit jarang ketemu bisnis 2 usaha sawah hasil nomor 1 rumah pilih alas,0
caci maki keluarga caci maki kerabat mantan pacar caci maki diam sabar blok jujur terima sikap pilih cerai tindak salah,0
semangat bunda cari kerja pisah beda prinsip cocok tahun tahan alas titik bulat putus pisah rantau rencana pulang kampung nyari tahan hidup 2 sekolah jaga 1 usia 3 bawa keluarga kampung jaga lantar jujur kuat tahan pisah apa lagi hari tetes pisah sesak dada tuhan dosa tanam coba berat,0
om atur 50 ribu hari hidup desa giat acara hajat nikah sunat lahir mati masjid bayar pajak obat servis kendara mertua suruh a z pakai anggar pelit habis 200 500 ribu bulan kadang suka tangis pikir butuh keluarga banget mar 4 h mar 4 h syukur peras keringat pagi malam butuh keluarga olah duit habis pribadi tumpang makan curhat tetangga,0
mohon izin curhat ayah mertua ayah mertua sayang banding saudara peduli hati urus ayah mertua riwayat sakit paru parah perilaku ayah mertua beliau jaga martabat jalin hubung saudara hancur ayah mertua jerat leceh tahan usaha bela ayah mertua coba usaha ringan debat paham perempuan titip ayah mertua main umur si korban cek korban marah sikap ekspresi marah ayah mertua damping proses besuk kasihan ayah mertua riwayat sakit paru parah takut kambuh tinggal sel tahan alas bantu ayah mertua ayah lepas tang bantu bilang bilang bakti buat erik terima dapat mohon teman sikap masalah hancur,2
jalan 3 nikah ldr muak banget teman obrol,0
saran hadap hobi main main kadang on perempuan sakit banget hati marah duli in cuek akan laku,0
daerah bekas bekas teman,0
hancur percaya malu mati penuh trauma kecewa,2
assalamualaikum mohon saran nama usia pt status duda tinggal tinggal tanggal 10 lahir 4 laki tanggal 15 tinggal dunia sesak napas 1 jam angan dokter selamat takdir maha kuasa berat terima nyata ikhlas terima takdir tentu cipta juang besar didik tuhan ambil ajar tegur rencana tuhan siap langkah u depan mohon saran,2
capek d sayang hati kah rumah tangga,1
wajar si cari senang main handphone ajak komunikasi risi sepi banget kayak gin,0
kaum lelaki beban ekonomi sakit gajih jalan,0
malu banget deh bunda bangun siang mertua,0
en curhat tolong admin susah maaf ibu salah apa lagi mata keranjang selingkuh ojek bulan chat pas malam turun nyari order buka chat iya tidak apa apa pas baca chat langsung diam pas diam langsung langsung bilang si langgan ojek nada omong langgan ojeg simpan nomor motor rusak pagi langgan telpon angkat posisi kamar handphone cas motor chat assalamualaikum bang sibuk balas wa balas kemarin cek panggil langgan log panggil cek cek blokir nomor si langgan blokir talak talak gilir imbang sakit selingkuh balas selingkuh teman susah sakit urus hadap,0
tinggal 9 saudara jarang akur cekcok sedih kadang saudara cuman akur kesel kakak k ajak ribut kirim pesan kayak koran banget maki akur konte ajak ribut udut mentang hak bela d bela bangkang harga kakak dll sakit hati sih keluarga d anggap d sempat bicara bela d anggap beban keluarga temu temu makan tidak pernah temu jajan temu jajan piutang tidak pernah bayar d sakit awat bulan kabar kemarin sakit sebab sakit bilang repot sakit hati tuhan rawat bilang repot alah pen tangis serba salah banget d diam d salah d jadi bahan syirik d d salah emang hidup d tindas,2
heran banget susah banget kerja tawar teman dia situ tinggal tunggu panggil panggil 2 panggil tes 3 tawar keluarga pas ok berangkat asa tutup pintu rezeki usaha doa zikir salat kadang tahajud kadang subuh bangun siang sih,0
hamil bawa kesel liat sebal tidak tau,0
saudara tinggal urus adik sekolah kaya makan dll kemarin beli beras 15 bilang gin jual gitu jual beras iya beras beli jual pikir beli beras suka titip masak nasi titip 1 gelas makan saudara kontrak masak beli kompor kek kek d masak nikah,0
kaya suka kasi semenjak rantau teman main main handphone kadang kasi main luar suka iseng main pas jakarta suka banget main umur 5 beli pakai main tidak apa apa suka main teman suka kasi kadang suka main suasana kaya jakarta tipe suka duduk tetangga suka malas duduk,0
maaf curhat 9 rantau minggu kabar nikah sirih tanya emang nikah sirih status ktp status daftar hukum catat sipil maaf sambung post siang bicara perempuan perempuan tau laki bilang tau y tuhan hancur sesak ribut telpon mertua pihak salah olah saking sakit tau salah tau buat y tuhan sayang suruh putus hubung semua keluarga handphone media sosial berat hati sayang enak muda ikhlas,1
panggil sidang 2 kali berangkat sidang talak,0
ngak sih arah arah dewa pa tu melulu hidup marah kl marah jahat marah marah bikin nyaman deg degan marah kek amuk omal tendang x hari hadap sih x ad alami kek asa liat kek mati berat rasa takut nyaman,2
susah banget tidur malam kadang bak kadang susah tidur malam ganti tidur siang tidur siang susah tidur saran biar tidur cepat kadang suka sa si begadang,1
mohon maaf laku bohong uang gaji pas cuman 1 6 2 minggu tanggal 1 tanggal 15 kontrak bulan 1 sekolah tk bayar sekolah 500 bayar haji jajan butuh pokok dapur satu diam larang diam d lapar peduli nah lapar takut beras gaji habis gilir kadang pinjam gilir lapar pinjam alas malu d usaha laku prioritas d banding lapar zalim sih kadang capek banget pikir jajan abis beras sabun gas habis tau gilir kirim d usaha pinjam omong berani takut d pelit tuntu d d terima jujur kirim omong liat kondisi,1
perempuan 21 milik 1 tinggal orang tua usia nikah 5 milik usaha modal piutang usaha bangkrut karyawan lebih batas 5 juta tutup modal usaha piutang lunas tutup usaha bahas tang kembali piutang akad piutang mahar gadai fondasi pakai tanah bangun kakak tanah adik tua sakit gila waris kaya tua mati takut tutup rapat pinjam terus janji pindah ambil kpr rencana puasa kemarin 100 i j marah durhaka tidak pernah say umur 15 pergi rantau kota gaji beliau lupa doa miskin piutang usir kecewa sakit cerita suami marah paksa ambil kpr 18 mertua janji depan bayar biar asuh teman cerita berat pikul beban pikir butuh solusi baca cerita,2
mending sabun cuci baju renceng 500 kemas awet irit,0
tetangga kakak dengki iri busuk suka cari amin ajar banget,0
pinjam daring s shopee alam jujur gede normal,0
salah diam mata tua kandung pilih diam tidur teras bilang penting tidur nyenyak,0
bingung minyak jelantah minyak goreng habis jelantah,0
