text,label
"Hallo semuaaa, mau nanyaa ya..
Bunda bunda jika dihadapkan dengan 2 pilihan, pilih yang mana?
1. Penghasilan 50jt/bulan (LDM Jabar-kalimantan) bisnis batubara dan kebun sawit, tp jarang ketemu karena ngontrol bisnis
2. Usaha di Jabar (sawah) penghasilan tidak sebesar seperti nomer 1, tp serumah
Kalian pilih yg mana? Dan berikan alasannya 🙏🏻",0
"Saya mau tanya , ketika saya di caci maki oleh keluarga suami, di caci maki oleh kerabat suami, dan mantan pacar suami ku juga ikut mencaci maki aku.. trus suamiku hanya diam dan berkata sabar blok aja mereka, 😔, jujur aku tidak terima dengan sikap suami, dan aku memilih untuk bercerai, apakah tindakan aku salah ?",0
"Kasih semangat buat aku ya bund,,di usiaku yg sudah 45 tahun dan akan mencari pekerjaan. aku akan berpisah dengan anak2ku dan suami. Aku dan suami beda prinsip dan benar2 tidak ada kecocokan lagi.. sudah bertahun-tahun aku bertahan dalam rumahtangga itu alasan karena anak,tapi dalam titik ini benar2 sudah bulat keputusan untuk berpisah😭.
Kami saat ini merantau, rencana aku akan pulang kekampung nyari kerja buat bertahan hidup, 2 orang anakku yang masih sekolah ikut bapaknya karena sudah bisa jaga diri, sedangkan 1 orang anakku masih kecil berusia 3 tahun lebih akan dibawa  kekeluarganya suami dikampung karena disini tidak ada yg jaga lantaran suami juga kerja. 
Sejujurnya aku tak kuat menahan untuk berpisah dengan anak2ku apalgi yg masih kecil,sehari saja tanpa melihat wajahnya airmataku selalu menetes😢 apalagi akan berpisah lama😭😭😭, rasanya nyesek dada ini ya Allah, dosa apakah yg tertanam dalam hatiku sehingga cobaan ini begitu berat😢😢😭😭😭",0
"Masih belom bisa ngatur uang 50 ribu buat sehari 
Padahal hidup di desa, malah banyak kegiatan seperti ngikutin ada acara hajatan nikahan sunatan,lahiran, kematian,selametan di masjid itu tiap bulan ada aja, blum byar pajak , obat, servis kendaraan, blum mertua nyuruh dari A sampai  Z pasti pake anggaran uang kami, Ya bukannya mau pelit, untuk itu aja udah ngabisin 200 - 500 ribu sebulan, Kadang suka nangis sendiri, mikirin ada solusinya, Buat kebutuhan keluarga kami aja ngempet banget suami di curhatin malah mar4h-mar4h katanya gak bersyukur, dia udah Peras keringat pagi sampe malam buat nyukupin kebutuhan saya, padahal bukan buat saya aja tapi buat keluarga 
Seolah-olah itu duit yg ngabisin saya pribadi 
Padahal saya ibarat cuma numpang makan

Nb: curhat tetangga",0
"Mohon ijin, saya mau curhat. Saya seorang istri yang mempunyai suami yang sayangnya luar biasa kepada ayah mertua saya. Dan saya rasa begitu juga sebaliknya, ayah mertua saya lebih sayang ke suami di bandingkan saudara²nya. walau dia bukan anak pertama tapi suami saya yang lebih peduli dan perhatian mengurus ayah mertua saya yang punya riwayat penyakit paru yang cukup parah. namun sayangnya, perilaku ayah mertua kurang baik menurut saya karena beliau tidak mau menjaga martabat sendiri dan tidak menjalin hubungan baik dengan saudara² suami saya yang lain. singkatnya, dan paling menghancurkan, ayah mertua terjerat kasus pelecehan anak kecil dan sekarang masih di tahan di polres. Namun, sayangnya suami selalu berusaha membela ayah mertua dan mencoba segala usaha untuk keringanan kasus ini. Kami mulai berdebat, dan tidak sepaham karena saya juga punya anak perempuan yang sering saya titip kepada ayah mertua saya yang sering bermain dan seumuran dengan si korban. dan saya cek anak saya untk memastikan dia juga bukan korban.  Saya sangat marah atas sikap suami saya yang tidak ada menunjukkan ekspresi marah kepada ayah mertua saya ketika mendampingi proses kasus dan saat besukan. malah dia kasihan karena ayah mertua ada riwayat penyakit paru yang cukup parah. suami takut sewaktu2 bisa kambuh atau meninggal di sel tahanan. dan alasan suami bersikukuh membantu ayah mertua, karena dia ayah sendiri dan tak ingin lepas tangan dan juga baktinya membantu orangtua. tapi sya bilang bilang ini bukan bakti yang tepat dilakukan karena ini perbuatan yang mengerikan saya rasa. Tapi suami tidak terima pendapat saya. Mohon sarannya teman² bagaimana saya menyikapi permasalahan ini. saya benar² hancur😭",2
"udah jalan 3 tahun pernikahan, LDR terus . 
ada yg lebih lama gak?
rasanya udah muak banget apa apa sendiri , gak ada teman ngobrol",0
Minta saran .. Gmna cara menghadapi suami yg hobi nya maen game kadang on mix sama cewe aja rasa nya sakit banget hati ini ..  marah juga percuma gak di perduli.in malah cuek seakan.akan yg di lakuin nya bener aja .. 😭,0
Di SNI ada yang kerja daerah Bekasi aku kerja di Bekasi tapi belum pnya tmn di sni baru kerja,0
"Di hancurkan oleh orang yang dipercaya, dipermalukan oleh seseorang dari  Keluarganya. 
#mati rasa. #penuh trauma. #banyak kekecewaan.",2
"assalamualaikum 
mohon minta saran nya ya ,,
nama saya Asep Usia 43
saya bekerja di sebuah PT medion sejak THN 2000 
saat ini status saya duda baru ditinggal istri meninggal
tgl 10 July istri saya melahirkan anak ke 4 (laki²)
tgl 15 July istri saya meninggal dunia di IGD karena sesak nafas tiba² 
1 jam penanganan dokter dan akhirnya istri saya nggak bisa terselamatkan , mungkin ini sudah takdir yang maha kuasa , dan apa boleh buat walaupun berat saya harus menerima kenyataan ,ikhlass
saya bukan nya nggak ikhlas atau menerima takdir dan ketentuan dari pencipta 🥹
di saat saya sedang berjuang bersama istri saya, untuk membesarkan dan mendidik anak² , justru Allah mengambil nya dari saya 
apakah ini sebuah pelajaran  , atau teguran atau ada rencana apa yg sedang Allah persiapkan
untuk saya
dan apa langkah selanjutnya u/saya kedepannya
mohon saran nya yaa  🥹🙏",2
