original_word,final_word,pair_count,final_total
2,2,627,627
1,1,518,518
3,3,373,373
curhat,curhat,347,347
gitu,gitu,296,299
gitulah,gitu,3,299
5,5,226,226
4,4,215,215
handphone,handphone,146,146
10,10,143,143
6,6,115,115
dll,dll,83,83
chat,chat,82,82
7,7,72,72
50,50,69,69
ma,ma,67,67
tu,tu,66,66
ngga,ngga,64,64
tidak mau,tidak mau,62,62
kn,kn,62,62
tidak apa apa,tidak apa apa,60,60
100,100,60,60
20,20,60,60
nyari,nyari,58,58
ko,ko,58,58
8,8,55,55
sd,sd,55,55
orang tua saya,orang tua saya,51,51
ldr,ldr,50,50
adik saya,adik saya,50,50
tidak bisa,tidak bisa,49,49
a,a,43,48
anya,a,5,48
500,500,46,46
9,9,45,45
rs,rs,45,45
orang tua dia,orang tua dia,44,44
aj,aj,44,44
terima kasih,terima kasih,44,44
kb,kb,42,42
15,15,41,41
tk,tk,41,41
30,30,41,41
smp,smp,41,41
di rumah,di rumah,40,40
rt,rt,39,39
kdrt,kdrt,38,38
tidak pernah,tidak pernah,37,37
daring,daring,37,37
teman dia,teman dia,36,36
ngak,ngak,36,36
emak,emak,35,35
post,post,33,33
tidak ada,tidak ada,33,33
12,12,32,32
irt,irt,31,31
25,25,31,31
nurut,nurut,31,31
200,200,30,30
kl,kl,30,30
tuntu,tuntu,29,29
300,300,29,29
facebook,facebook,28,28
rudung,rudung,28,28
pinjol,pinjol,28,28
judol,judol,27,27
ap,ap,27,27
nambah,nambah,27,27
boomer,boomer,26,26
lu,lu,25,25
tidak tau,tidak tau,24,24
oh,oh,24,24
pampers,pampers,24,24
11,11,23,23
toxic,toxic,23,23
jakarta,jakarta,22,22
ktp,ktp,22,22
sebelah,sebe,22,22
token,token,21,21
omal,omal,20,20
su,su,20,20
40,40,19,19
ya sudah,ya sudah,19,19
do,do,19,19
150,150,19,19
say,say,18,18
rbu,rbu,18,18
000,000,18,18
amber,amber,18,18
24,24,18,18
18,18,17,17
balita,balita,17,17
wifi,wifi,17,17
resign,resign,17,17
sampe,sampe,17,17
adik dia,adik dia,16,16
vc,vc,16,16
ud,ud,16,16
ya tuhan,ya tuhan,16,16
le,le,16,16
mie,mie,16,16
ngg,ngg,15,15
14,14,15,15
35,35,15,15
pny,pny,15,15
tidak punya,tidak pu,15,15
admin,admin,14,14
tawar,tawar,14,14
kpr,kpr,14,14
umr,umr,14,14
nga,nga,14,14
smk,smk,14,14
nyaa,nyaa,14,14
pa,pa,13,13
caesar,caesar,13,13
13,13,13,13
jawa,jawa,13,13
tiktok,tiktok,13,13
kt,kt,13,13
jomblo,jomblo,13,13
on,on,12,12
media sosial,media sosial,12,12
atm,atm,12,12
28,28,12,12
22,22,12,12
bpjs,bpjs,12,12
kos,kos,12,12
berat badan,berat badan,12,12
ulang tahun,ulang tahun,12,12
akte,akte,12,12
up,up,12,12
teman saya,teman saya,12,12
apa lagi,apa lagi,11,11
saudara dia,saudara dia,11,11
ig,ig,11,11
paud,paud,11,11
it,it,11,11
nge,nge,11,11
hny,hny,11,11
tkw,tkw,11,11
la,la,11,11
pt,pt,10,10
npd,npd,10,10
19,19,10,10
so,so,10,10
mn,mn,10,10
250,250,10,10
susu formula,susu formula,10,10
tidak boleh,tidak boleh,10,10
16,16,10,10
70,70,10,10
was,was,10,10
shopee,shopee,9,9
rabu,rabu,9,9
perawatan kulit,perawatan kulit,9,9
mbg,mbg,9,9
17,17,9,9
80,80,9,9
ntar,ntar,9,9
tidak usah,tidak usah,9,9
usg,usg,8,8
kua,kua,8,8
400,400,8,8
2021,2021,8,8
pulang pergi,pulang pergi,8,8
puny,puny,8,8
ne,ne,8,8
tidak percaya diri,tidak percaya diri,8,8
23,23,8,8
21,21,7,7
pns,pns,7,7
tidak enak,tidak enak,7,7
to,to,7,7
29,29,7,7
pulang kampung,pulang kampung,7,7
sembako,sembako,7,7
32,32,7,7
me,me,7,7
akn,akn,7,7
800,800,7,7
bapak dia,bapak dia,7,7
spp,spp,7,7
34,34,7,7
26,26,7,7
ldm,ldm,6,6
ok,ok,6,6
aga,aga,6,6
ngapa,ngapa,6,6
2024,2024,6,6
art,art,6,6
90,90,6,6
al,al,6,6
mama saya,mama saya,6,6
2025,2025,6,6
ng,ng,6,6
tengonk,tengonk,6,6
tampa,tampa,6,6
tangani,tangani,6,6
budak cinta,budak cinta,6,6
ah,ah,6,6
akhirny,akhirny,6,6
disabilitas,disabilitas,6,6
rsa,rsa,6,6
rban,rban,6,6
gara,gara,6,6
pdam,pdam,6,6
ustad,ustad,6,6
ndak,ndak,5,5
gi,gi,5,5
san,san,5,5
keluarga saya,keluarga saya,5,5
keluarga dia,keluarga dia,5,5
saudara saya,saudara saya,5,5
katany,katany,5,5
ea,ea,5,5
adik kamu,adik ka,5,5
ta,ta,5,5
ja,ja,5,5
jum,jum,5,5
at,at,5,5
tny,tny,5,5
handphone dia,handphone dia,5,5
unt,unt,5,5
kakak dia,kakak dia,4,4
dak,dak,4,4
gg,gg,4,4
pn,pn,4,4
asn,asn,4,4
nti,nti,4,4
ln,ln,4,4
rasany,rasany,4,4
rumah dia,rumah dia,4,4
ska,ska,4,4
aa,aa,4,4
ml,ml,4,4
laki dia,laki dia,4,4
apaa,apaa,4,4
ti,ti,4,4
te,te,4,4
napa,napa,3,3
han,han,3,3
nd,nd,3,3
mama dia,mama dia,3,3
00,00,3,3
ac,ac,3,3
sn,sn,3,3
ust,ust,3,3
aduh,aduh,3,3
mba,mba,3,3
and,and,3,3
adaa,adaa,3,3
